1p.prs	1p.pst	3p.prs	3p.pst
pauperize	pauperized	pauperizes	pauperized
pause	paused	pauses	paused
pave	paved	paves	paved
abandon	abandoned	abandons	abandoned
abase	abased	abases	abased
paw	pawed	paws	pawed
abash	abashed	abashes	abashed
abate	abated	abates	abated
pawn	pawned	pawns	pawned
abbreviate	abbreviated	abbreviates	abbreviated
abdicate	abdicated	abdicates	abdicated
pay	paid	pays	paid
abduct	abducted	abducts	abducted
abet	abetted	abets	abetted
abhor	abhorred	abhors	abhorred
abide	abided	abides	abided
abjure	abjured	abjures	abjured
abnegate	abnegated	abnegates	abnegated
peach	peached	peaches	peached
abolish	abolished	abolishes	abolished
abominate	abominated	abominates	abominated
peak	peaked	peaks	peaked
abort	aborted	aborts	aborted
peal	pealed	peals	pealed
abound	abounded	abounds	abounded
pearl	pearled	pearls	pearled
about-face	about-faced	about-faces	about-faced
abrade	abraded	abrades	abraded
abridge	abridged	abridges	abridged
abrogate	abrogated	abrogates	abrogated
peck	pecked	pecks	pecked
abscond	absconded	absconds	absconded
absent	absented	absents	absented
peculate	peculated	peculates	peculated
pedal	pedalled	pedals	pedalled
absolve	absolved	absolves	absolved
absorb	absorbed	absorbs	absorbed
peddle	peddled	peddles	peddled
abstain	abstained	abstains	abstained
abstract	abstracted	abstracts	abstracted
abstract	abstracted	abstracts	abstracted
pee	peed	pees	peed
peek	peeked	peeks	peeked
abuse	abused	abuses	abused
peel	peeled	peels	peeled
peep	peeped	peeps	peeped
peer	peered	peers	peered
accede	acceded	accedes	acceded
peeve	peeved	peeves	peeved
accelerate	accelerated	accelerates	accelerated
peg	pegged	pegs	pegged
accent	accented	accents	accented
accentuate	accentuated	accentuates	accentuated
accept	accepted	accepts	accepted
acclaim	acclaimed	acclaims	acclaimed
acclimate	acclimated	acclimates	acclimated
acclimatize	acclimatized	acclimatizes	acclimatized
pelt	pelted	pelts	pelted
accommodate	accommodated	accommodates	accommodated
pen	penned	pens	penned
penalize	penalized	penalizes	penalized
accompany	accompanied	accompanies	accompanied
accomplish	accomplished	accomplishes	accomplished
accord	accorded	accords	accorded
pencil	pencilled	pencils	pencilled
accost	accosted	accosts	accosted
account	accounted	accounts	accounted
penetrate	penetrated	penetrates	penetrated
accredit	accredited	accredits	accredited
accrete	accreted	accretes	accreted
accrue	accrued	accrues	accrued
accumulate	accumulated	accumulates	accumulated
accuse	accused	accuses	accused
accustom	accustomed	accustoms	accustomed
ache	ached	aches	ached
achieve	achieved	achieves	achieved
acidify	acidified	acidifies	acidified
acidulate	acidulated	acidulates	acidulated
acknowledge	acknowledged	acknowledges	acknowledged
acquiesce	acquiesced	acquiesces	acquiesced
people	peopled	peoples	peopled
pepper	peppered	peppers	peppered
acquire	acquired	acquires	acquired
acquit	acquitted	acquits	acquitted
perambulate	perambulated	perambulates	perambulated
perceive	perceived	perceives	perceived
act	acted	acts	acted
perch	perched	perches	perched
percolate	percolated	percolates	percolated
activate	activated	activates	activated
peregrinate	peregrinated	peregrinates	peregrinated
actuate	actuated	actuates	actuated
perfect	perfected	perfects	perfected
perforate	perforated	perforates	perforated
perform	performed	performs	performed
adapt	adapted	adapts	adapted
perfume	perfumed	perfumes	perfumed
add	added	adds	added
addict	addicted	addicts	addicted
addle	addled	addles	addled
address	addressed	addresses	addressed
adduce	adduced	adduces	adduced
perish	perished	perishes	perished
adhere	adhered	adheres	adhered
perjure	perjured	perjures	perjured
perk	perked	perks	perked
perm	permed	perms	permed
adjoin	adjoined	adjoins	adjoined
adjourn	adjourned	adjourns	adjourned
adjudge	adjudged	adjudges	adjudged
adjudicate	adjudicated	adjudicates	adjudicated
adjure	adjured	adjures	adjured
adjust	adjusted	adjusts	adjusted
permeate	permeated	permeates	permeated
ad-lib	ad-libbed	ad-libs	ad-libbed
administer	administered	administers	administered
permit	permitted	permits	permitted
permute	permuted	permutes	permuted
perorate	perorated	perorates	perorated
admire	admired	admires	admired
perpetrate	perpetrated	perpetrates	perpetrated
admit	admitted	admits	admitted
admix	admixed	admixes	admixed
perpetuate	perpetuated	perpetuates	perpetuated
admonish	admonished	admonishes	admonished
perplex	perplexed	perplexes	perplexed
persecute	persecuted	persecutes	persecuted
adopt	adopted	adopts	adopted
persevere	persevered	perseveres	persevered
adore	adored	adores	adored
adorn	adorned	adorns	adorned
persist	persisted	persists	persisted
adulate	adulated	adulates	adulated
adulterate	adulterated	adulterates	adulterated
personalize	personalized	personalizes	personalized
adumbrate	adumbrated	adumbrates	adumbrated
personate	personated	personates	personated
advance	advanced	advances	advanced
personify	personified	personifies	personified
advantage	advantaged	advantages	advantaged
perspire	perspired	perspires	perspired
adventure	adventured	adventures	adventured
persuade	persuaded	persuades	persuaded
perturb	perturbed	perturbs	perturbed
advertise	advertised	advertises	advertised
peruse	perused	peruses	perused
pervade	pervaded	pervades	pervaded
advise	advised	advises	advised
advocate	advocated	advocates	advocated
pervert	perverted	perverts	perverted
aerate	aerated	aerates	aerated
pester	pestered	pesters	pestered
pestle	pestled	pestles	pestled
pet	petted	pets	petted
petition	petitioned	petitions	petitioned
affect	affected	affects	affected
petrify	petrified	petrifies	petrified
affiance	affianced	affiances	affianced
affiliate	affiliated	affiliates	affiliated
pettifog	pettifogged	pettifogs	pettifogged
affirm	affirmed	affirms	affirmed
affix	affixed	affixes	affixed
afflict	afflicted	afflicts	afflicted
afford	afforded	affords	afforded
afforest	afforested	afforests	afforested
affranchise	affranchised	affranchises	affranchised
affront	affronted	affronts	affronted
phase	phased	phases	phased
philander	philandered	philanders	philandered
age	aged	ages	aged
philosophize	philosophized	philosophizes	philosophized
agglomerate	agglomerated	agglomerates	agglomerated
agglutinate	agglutinated	agglutinates	agglutinated
aggrandize	aggrandized	aggrandizes	aggrandized
aggravate	aggravated	aggravates	aggravated
phone	phoned	phones	phoned
aggregate	aggregated	aggregates	aggregated
aggress	aggressed	aggresses	aggressed
aggrieve	aggrieved	aggrieves	aggrieved
agitate	agitated	agitates	agitated
phosphoresce	phosphoresced	phosphoresces	phosphoresced
agonize	agonized	agonizes	agonized
photocopy	photocopied	photocopies	photocopied
agree	agreed	agrees	agreed
photograph	photographed	photographs	photographed
photosensitize	photosensitized	photosensitizes	photosensitized
photostat	photostatted	photostats	photostatted
aid	aided	aids	aided
phrase	phrased	phrases	phrased
ail	ailed	ails	ailed
aim	aimed	aims	aimed
air	aired	airs	aired
airdrop	airdropped	airdrops	airdropped
pick	picked	picks	picked
airlift	airlifted	airlifts	airlifted
picket	picketed	pickets	picketed
pickle	pickled	pickles	pickled
picnic	picnicked	picnics	picnicked
picture	pictured	pictures	pictured
piddle	piddled	piddles	piddled
piece	pieced	pieces	pieced
alarm	alarmed	alarms	alarmed
pierce	pierced	pierces	pierced
piffle	piffled	piffles	piffled
alert	alerted	alerts	alerted
pigeonhole	pigeonholed	pigeonholes	pigeonholed
alienate	alienated	alienates	alienated
pike	piked	pikes	piked
alight	alighted	alights	alighted
align	aligned	aligns	aligned
pile	piled	piles	piled
pilfer	pilfered	pilfers	pilfered
allay	allayed	allays	allayed
pillage	pillaged	pillages	pillaged
allege	alleged	alleges	alleged
pillory	pilloried	pillories	pilloried
pillow	pillowed	pillows	pillowed
pilot	piloted	pilots	piloted
alleviate	alleviated	alleviates	alleviated
pimp	pimped	pimps	pimped
pin	pinned	pins	pinned
alliterate	alliterated	alliterates	alliterated
allocate	allocated	allocates	allocated
pinch	pinched	pinches	pinched
allot	allotted	allots	allotted
allow	allowed	allows	allowed
pine	pined	pines	pined
alloy	alloyed	alloys	alloyed
ping	pinged	pings	pinged
pinion	pinioned	pinions	pinioned
pink	pinked	pinks	pinked
allure	allured	allures	allured
pinnacle	pinnacled	pinnacles	pinnacled
ally	allied	allies	allied
pinpoint	pinpointed	pinpoints	pinpointed
pioneer	pioneered	pioneers	pioneered
pip	pipped	pips	pipped
pipe	piped	pipes	piped
alter	altered	alters	altered
pique	piqued	piques	piqued
altercate	altercated	altercates	altercated
alternate	alternated	alternates	alternated
pirate	pirated	pirates	pirated
pirouette	pirouetted	pirouettes	pirouetted
piss	pissed	pisses	pissed
pit	pitted	pits	pitted
pitch	pitched	pitches	pitched
amalgamate	amalgamated	amalgamates	amalgamated
amass	amassed	amasses	amassed
pitchfork	pitchforked	pitchforks	pitchforked
amaze	amazed	amazes	amazed
amble	ambled	ambles	ambled
ambuscade	ambuscaded	ambuscades	ambuscaded
pity	pitied	pities	pitied
ambush	ambushed	ambushes	ambushed
pivot	pivoted	pivots	pivoted
ameliorate	ameliorated	ameliorates	ameliorated
amend	amended	amends	amended
placard	placarded	placards	placarded
placate	placated	placates	placated
americanize	americanized	americanizes	americanized
place	placed	places	placed
plagiarize	plagiarized	plagiarizes	plagiarized
ammoniate	ammoniated	ammoniates	ammoniated
plague	plagued	plagues	plagued
plain	plained	plains	plained
amortize	amortized	amortizes	amortized
plait	plaited	plaits	plaited
plan	planned	plans	planned
plane	planed	planes	planed
amplify	amplified	amplifies	amplified
amputate	amputated	amputates	amputated
plank	planked	planks	planked
amuse	amused	amuses	amused
plant	planted	plants	planted
plash	plashed	plashes	plashed
anaesthetize	anaesthetized	anaesthetizes	anaesthetized
plaster	plastered	plasters	plastered
analogize	analogized	analogizes	analogized
analyse	analysed	analyses	analysed
plate	plated	plates	plated
anathematize	anathematized	anathematizes	anathematized
anchor	anchored	anchors	anchored
play	played	plays	played
play-act	play-acted	play-acts	play-acted
anger	angered	angers	angered
angle	angled	angles	angled
angle-park	angle-parked	angle-parks	angle-parked
anglicize	anglicized	anglicizes	anglicized
pleach	pleached	pleaches	pleached
plead	pleaded	pleads	pleaded
please	pleased	pleases	pleased
pleat	pleated	pleats	pleated
animadvert	animadverted	animadverts	animadverted
animate	animated	animates	animated
pledge	pledged	pledges	pledged
plenish	plenished	plenishes	plenished
anneal	annealed	anneals	annealed
annex	annexed	annexes	annexed
annihilate	annihilated	annihilates	annihilated
annotate	annotated	annotates	annotated
announce	announced	announces	announced
plight	plighted	plights	plighted
annoy	annoyed	annoys	annoyed
plod	plodded	plods	plodded
annul	annulled	annuls	annulled
plonk	plonked	plonks	plonked
annunciate	annunciated	annunciates	annunciated
plop	plopped	plops	plopped
anoint	anointed	anoints	anointed
plot	plotted	plots	plotted
plough	ploughed	ploughs	ploughed
answer	answered	answers	answered
pluck	plucked	plucks	plucked
plug	plugged	plugs	plugged
antagonize	antagonized	antagonizes	antagonized
ante	anted	antes	anted
plumb	plumbed	plumbs	plumbed
antecede	anteceded	antecedes	anteceded
antedate	antedated	antedates	antedated
plume	plumed	plumes	plumed
plummet	plummetted	plummets	plummetted
plump	plumped	plumps	plumped
anthologize	anthologized	anthologizes	anthologized
plunder	plundered	plunders	plundered
plunge	plunged	plunges	plunged
plunk	plunked	plunks	plunked
anticipate	anticipated	anticipates	anticipated
ply	plied	plies	plied
poach	poached	poaches	poached
pocket	pocketed	pockets	pocketed
antiquate	antiquated	antiquates	antiquated
pod	podded	pods	podded
point	pointed	points	pointed
ape	aped	apes	aped
poise	poised	poises	poised
poison	poisoned	poisons	poisoned
poke	poked	pokes	poked
apologize	apologized	apologizes	apologized
polarize	polarized	polarizes	polarized
pole	poled	poles	poled
apostatize	apostatized	apostatizes	apostatized
pole-axe	pole-axed	pole-axes	pole-axed
apostrophize	apostrophized	apostrophizes	apostrophized
pole-vault	pole-vaulted	pole-vaults	pole-vaulted
appal	appalled	appals	appalled
police	policed	polices	policed
apparel	apparelled	apparels	apparelled
appeal	appealed	appeals	appealed
appear	appeared	appears	appeared
polish	polished	polishes	polished
appease	appeased	appeases	appeased
append	appended	appends	appended
politicalize	politicalized	politicalizes	politicalized
applaud	applauded	applauds	applauded
politicize	politicized	politicizes	politicized
applique	appliqueed	appliques	appliqueed
apply	applied	applies	applied
appoint	appointed	appoints	appointed
poll	polled	polls	polled
pollard	pollarded	pollards	pollarded
apportion	apportioned	apportions	apportioned
appose	apposed	apposes	apposed
pollinate	pollinated	pollinates	pollinated
appraise	appraised	appraises	appraised
pollute	polluted	pollutes	polluted
appreciate	appreciated	appreciates	appreciated
apprehend	apprehended	apprehends	apprehended
apprentice	apprenticed	apprentices	apprenticed
apprise	apprised	apprises	apprised
approach	approached	approaches	approached
approbate	approbated	approbates	approbated
appropriate	appropriated	appropriates	appropriated
approve	approved	approves	approved
approximate	approximated	approximates	approximated
pomade	pomaded	pomades	pomaded
pommel	pommelled	pommels	pommelled
aquaplane	aquaplaned	aquaplanes	aquaplaned
ponder	pondered	ponders	pondered
pong	ponged	pongs	ponged
poniard	poniarded	poniards	poniarded
pontificate	pontificated	pontificates	pontificated
arbitrate	arbitrated	arbitrates	arbitrated
arc	arced	arcs	arced
pooh-pooh	pooh-poohed	pooh-poohs	pooh-poohed
pool	pooled	pools	pooled
arch	arched	arches	arched
pop	popped	pops	popped
popularize	popularized	popularizes	popularized
populate	populated	populates	populated
argue	argued	argues	argued
arise	arose	arises	arose
arm	armed	arms	armed
portend	portended	portends	portended
portray	portrayed	portrays	portrayed
pose	posed	poses	posed
arouse	aroused	arouses	aroused
posit	posited	posits	posited
arraign	arraigned	arraigns	arraigned
position	positioned	positions	positioned
arrange	arranged	arranges	arranged
array	arrayed	arrays	arrayed
arrest	arrested	arrests	arrested
possess	possessed	possesses	possessed
arrive	arrived	arrives	arrived
arrogate	arrogated	arrogates	arrogated
post	posted	posts	posted
postdate	postdated	postdates	postdated
article	articled	articles	articled
articulate	articulated	articulates	articulated
postmark	postmarked	postmarks	postmarked
postpone	postponed	postpones	postponed
postulate	postulated	postulates	postulated
posture	postured	postures	postured
pot	potted	pots	potted
ascend	ascended	ascends	ascended
ascertain	ascertained	ascertains	ascertained
pot-roast	pot-roasted	pot-roasts	pot-roasted
potter	pottered	potters	pottered
ask	asked	asks	asked
pouch	pouched	pouches	pouched
poultice	poulticed	poultices	poulticed
pounce	pounced	pounces	pounced
pound	pounded	pounds	pounded
pour	poured	pours	poured
asperse	aspersed	asperses	aspersed
asphalt	asphalted	asphalts	asphalted
pout	pouted	pouts	pouted
asphyxiate	asphyxiated	asphyxiates	asphyxiated
powder	powdered	powders	powdered
aspirate	aspirated	aspirates	aspirated
aspire	aspired	aspires	aspired
assail	assailed	assails	assailed
power	powered	powers	powered
assassinate	assassinated	assassinates	assassinated
power-dive	power-dived	power-dives	power-dived
assault	assaulted	assaults	assaulted
assay	assayed	assays	assayed
assemble	assembled	assembles	assembled
assent	assented	assents	assented
assert	asserted	asserts	asserted
powwow	powwowed	powwows	powwowed
assess	assessed	assesses	assessed
asseverate	asseverated	asseverates	asseverated
assign	assigned	assigns	assigned
practise	practised	practises	practised
assimilate	assimilated	assimilates	assimilated
assist	assisted	assists	assisted
praise	praised	praises	praised
associate	associated	associates	associated
assort	assorted	assorts	assorted
prance	pranced	prances	pranced
assuage	assuaged	assuages	assuaged
assume	assumed	assumes	assumed
assure	assured	assures	assured
prattle	prattled	prattles	prattled
prawn	prawned	prawns	prawned
asterisk	asterisked	asterisks	asterisked
pray	prayed	prays	prayed
preach	preached	preaches	preached
astonish	astonished	astonishes	astonished
preachify	preachified	preachifies	preachified
prearrange	prearranged	prearranges	prearranged
astound	astounded	astounds	astounded
precede	preceded	precedes	preceded
precipitate	precipitated	precipitates	precipitated
precis	precised	precises	precised
preclude	precluded	precludes	precluded
preconceive	preconceived	preconceives	preconceived
precook	precooked	precooks	precooked
predecease	predeceased	predeceases	predeceased
predestinate	predestinated	predestinates	predestinated
predestine	predestined	predestines	predestined
atomize	atomized	atomizes	atomized
predetermine	predetermined	predetermines	predetermined
predicate	predicated	predicates	predicated
atone	atoned	atones	atoned
predict	predicted	predicts	predicted
atrophy	atrophied	atrophies	atrophied
attach	attached	attaches	attached
predigest	predigested	predigests	predigested
predispose	predisposed	predisposes	predisposed
attack	attacked	attacks	attacked
attain	attained	attains	attained
predominate	predominated	predominates	predominated
pre-empt	pre-empted	pre-empts	pre-empted
attempt	attempted	attempts	attempted
attend	attended	attends	attended
preen	preened	preens	preened
pre-exist	pre-existed	pre-exists	pre-existed
prefabricate	prefabricated	prefabricates	prefabricated
attenuate	attenuated	attenuates	attenuated
attest	attested	attests	attested
preface	prefaced	prefaces	prefaced
prefer	preferred	prefers	preferred
attire	attired	attires	attired
attitudinize	attitudinized	attitudinizes	attitudinized
attorn	attorned	attorns	attorned
attract	attracted	attracts	attracted
prefigure	prefigured	prefigures	prefigured
prefix	prefixed	prefixes	prefixed
preheat	preheated	preheats	preheated
prejudge	prejudged	prejudges	prejudged
prejudice	prejudiced	prejudices	prejudiced
auction	auctioned	auctions	auctioned
prelude	preluded	preludes	preluded
premeditate	premeditated	premeditates	premeditated
audit	audited	audits	audited
audition	auditioned	auditions	auditioned
premiere	premiered	premieres	premiered
premise	premised	premises	premised
augment	augmented	augments	augmented
augur	augured	augurs	augured
preoccupy	preoccupied	preoccupies	preoccupied
preordain	preordained	preordains	preordained
prepack	prepacked	prepacks	prepacked
prepackage	prepackaged	prepackages	prepackaged
prepare	prepared	prepares	prepared
prepay	prepaid	prepays	prepaid
auscultate	auscultated	auscultates	auscultated
preponderate	preponderated	preponderates	preponderated
prepossess	prepossessed	prepossesses	prepossessed
prerecord	prerecorded	prerecords	prerecorded
authenticate	authenticated	authenticates	authenticated
presage	presaged	presages	presaged
authorize	authorized	authorizes	authorized
prescribe	prescribed	prescribes	prescribed
present	presented	presents	presented
autograph	autographed	autographs	autographed
automate	automated	automates	automated
preserve	preserved	preserves	preserved
preset	preset	presets	preset
preside	presided	presides	presided
press	pressed	presses	pressed
avail	availed	avails	availed
pressgang	pressganged	pressgangs	pressganged
avenge	avenged	avenges	avenged
aver	averred	avers	averred
average	averaged	averages	averaged
pressure	pressured	pressures	pressured
avert	averted	averts	averted
pressurize	pressurized	pressurizes	pressurized
avoid	avoided	avoids	avoided
avouch	avouched	avouches	avouched
avow	avowed	avows	avowed
presume	presumed	presumes	presumed
await	awaited	awaits	awaited
awake	awoke	awakes	awoke
awaken	awakened	awakens	awakened
presuppose	presupposed	presupposes	presupposed
pretend	pretended	pretends	pretended
award	awarded	awards	awarded
awe	awed	awes	awed
prettify	prettified	prettifies	prettified
prevail	prevailed	prevails	prevailed
axe	axed	axes	axed
prevaricate	prevaricated	prevaricates	prevaricated
prevent	prevented	prevents	prevented
preview	previewed	previews	previewed
baa	baa'd	baas	baa'd
prey	preyed	preys	preyed
babble	babbled	babbles	babbled
price	priced	prices	priced
baby	babied	babies	babied
prick	pricked	pricks	pricked
baby-sit	baby-sat	baby-sits	baby-sat
prickle	prickled	prickles	prickled
back	backed	backs	backed
backbite	backbit	backbites	backbit
prim	primmed	prims	primmed
backcomb	backcombed	backcombs	backcombed
backdate	backdated	backdates	backdated
prime	primed	primes	primed
backfire	backfired	backfires	backfired
backpedal	backpedalled	backpedals	backpedalled
primp	primped	primps	primped
backslide	backslid	backslides	backslid
backspace	backspaced	backspaces	backspaced
backtrack	backtracked	backtracks	backtracked
prink	prinked	prinks	prinked
print	printed	prints	printed
badger	badgered	badgers	badgered
baffle	baffled	baffles	baffled
bag	bagged	bags	bagged
bail	bailed	bails	bailed
prize	prized	prizes	prized
prize	prized	prizes	prized
bait	baited	baits	baited
bake	baked	bakes	baked
balance	balanced	balances	balanced
probate	probated	probates	probated
probe	probed	probes	probed
proceed	proceeded	proceeds	proceeded
balk	balked	balks	balked
process	processed	processes	processed
process	processed	processes	processed
ballast	ballasted	ballasts	ballasted
proclaim	proclaimed	proclaims	proclaimed
procrastinate	procrastinated	procrastinates	procrastinated
balloon	ballooned	balloons	ballooned
procreate	procreated	procreates	procreated
ballot	balloted	ballots	balloted
procure	procured	procures	procured
prod	prodded	prods	prodded
produce	produced	produces	produced
bamboozle	bamboozled	bamboozles	bamboozled
ban	banned	bans	banned
profane	profaned	profanes	profaned
band	banded	bands	banded
bandage	bandaged	bandages	bandaged
profess	professed	professes	professed
proffer	proffered	proffers	proffered
bandy	bandied	bandies	bandied
profile	profiled	profiles	profiled
profit	profited	profits	profited
bang	banged	bangs	banged
profiteer	profiteered	profiteers	profiteered
banish	banished	banishes	banished
bank	banked	banks	banked
prognosticate	prognosticated	prognosticates	prognosticated
programme	programmed	programmes	programmed
bankrupt	bankrupted	bankrupts	bankrupted
progress	progressed	progresses	progressed
prohibit	prohibited	prohibits	prohibited
banquet	banqueted	banquets	banqueted
project	projected	projects	projected
banter	bantered	banters	bantered
prolapse	prolapsed	prolapses	prolapsed
baptize	baptized	baptizes	baptized
proliferate	proliferated	proliferates	proliferated
bar	barred	bars	barred
prolong	prolonged	prolongs	prolonged
promenade	promenaded	promenades	promenaded
barbarize	barbarized	barbarizes	barbarized
barbecue	barbecued	barbecues	barbecued
promise	promised	promises	promised
promote	promoted	promotes	promoted
bare	bared	bares	bared
prompt	prompted	prompts	prompted
promulgate	promulgated	promulgates	promulgated
bargain	bargained	bargains	bargained
prong	pronged	prongs	pronged
barge	barged	barges	barged
pronounce	pronounced	pronounces	pronounced
proof	proofed	proofs	proofed
bark	barked	barks	barked
proofread	proofread	proofreads	proofread
bark	barked	barks	barked
prop	propped	props	propped
propagandize	propagandized	propagandizes	propagandized
propagate	propagated	propagates	propagated
propel	propelled	propels	propelled
barnstorm	barnstormed	barnstorms	barnstormed
prophesy	prophesied	prophesies	prophesied
barrack	barracked	barracks	barracked
barrage	barraged	barrages	barraged
propitiate	propitiated	propitiates	propitiated
barrel	barrelled	barrels	barrelled
barricade	barricaded	barricades	barricaded
proportion	proportioned	proportions	proportioned
propose	proposed	proposes	proposed
barter	bartered	barters	bartered
proposition	propositioned	propositions	propositioned
propound	propounded	propounds	propounded
prorogue	prorogued	prorogues	prorogued
bash	bashed	bashes	bashed
proscribe	proscribed	proscribes	proscribed
prosecute	prosecuted	prosecutes	prosecuted
proselytize	proselytized	proselytizes	proselytized
bask	basked	basks	basked
prospect	prospected	prospects	prospected
prosper	prospered	prospers	prospered
prostitute	prostituted	prostitutes	prostituted
prostrate	prostrated	prostrates	prostrated
bastardize	bastardized	bastardizes	bastardized
baste	basted	bastes	basted
bastinado	bastinadoed	bastinados	bastinadoed
protect	protected	protects	protected
bat	batted	bats	batted
bate	bated	bates	bated
bath	bathed	baths	bathed
bathe	bathed	bathes	bathed
protest	protested	protests	protested
protract	protracted	protracts	protracted
batter	battered	batters	battered
protrude	protruded	protrudes	protruded
battle	battled	battles	battled
protuberate	protuberated	protuberates	protuberated
prove	proved	proves	proved
bawl	bawled	bawls	bawled
provide	provided	provides	provided
bay	bayed	bays	bayed
bayonet	bayoneted	bayonets	bayoneted
am	was	is	was
beach	beached	beaches	beached
provision	provisioned	provisions	provisioned
bead	beaded	beads	beaded
provoke	provoked	provokes	provoked
beam	beamed	beams	beamed
prowl	prowled	prowls	prowled
bear	bore	bears	bore
beard	bearded	beards	bearded
prune	pruned	prunes	pruned
beat	beat	beats	beat
pry	pried	pries	pried
beatify	beatified	beatifies	beatified
beautify	beautified	beautifies	beautified
psychoanalyse	psychoanalysed	psychoanalyses	psychoanalysed
beckon	beckoned	beckons	beckoned
become	became	becomes	became
bed	bedded	beds	bedded
bedaub	bedaubed	bedaubs	bedaubed
bedeck	bedecked	bedecks	bedecked
bedevil	bedevilled	bedevils	bedevilled
bedew	bedewed	bedews	bedewed
pub-crawl	pub-crawled	pub-crawls	pub-crawled
beef	beefed	beefs	beefed
publicize	publicized	publicizes	publicized
beeswax	beeswaxed	beeswaxes	beeswaxed
beetle	beetled	beetles	beetled
publish	published	publishes	published
befall	befell	befalls	befell
befit	befitted	befits	befitted
pucker	puckered	puckers	puckered
befog	befogged	befogs	befogged
befoul	befouled	befouls	befouled
befriend	befriended	befriends	befriended
puddle	puddled	puddles	puddled
befuddle	befuddled	befuddles	befuddled
beg	begged	begs	begged
beget	begot	begets	begot
beggar	beggared	beggars	beggared
puff	puffed	puffs	puffed
begin	began	begins	began
begrime	begrimed	begrimes	begrimed
begrudge	begrudged	begrudges	begrudged
beguile	beguiled	beguiles	beguiled
pug	pugged	pugs	pugged
behave	behaved	behaves	behaved
behead	beheaded	beheads	beheaded
puke	puked	pukes	puked
behold	beheld	beholds	beheld
behove	behoved	behoves	behoved
pule	puled	pules	puled
pull	pulled	pulls	pulled
bejewel	bejewelled	bejewels	bejewelled
belabour	belaboured	belabours	belaboured
belay	belayed	belays	belayed
belch	belched	belches	belched
beleaguer	beleaguered	beleaguers	beleaguered
belie	belied	belies	belied
believe	believed	believes	believed
pullulate	pullulated	pullulates	pullulated
belittle	belittled	belittles	belittled
pulp	pulped	pulps	pulped
pulsate	pulsated	pulsates	pulsated
pulse	pulsed	pulses	pulsed
pulverize	pulverized	pulverizes	pulverized
pump	pumped	pumps	pumped
bellow	bellowed	bellows	bellowed
pun	punned	puns	punned
punch	punched	punches	punched
belly-ache	belly-ached	belly-aches	belly-ached
belly-land	belly-landed	belly-lands	belly-landed
belly-laugh	belly-laughed	belly-laughs	belly-laughed
belong	belonged	belongs	belonged
belt	belted	belts	belted
punctuate	punctuated	punctuates	punctuated
puncture	punctured	punctures	punctured
bemoan	bemoaned	bemoans	bemoaned
bemuse	bemused	bemuses	bemused
punish	punished	punishes	punished
bend	bent	bends	bent
punt	punted	punts	punted
benefice	beneficed	benefices	beneficed
pup	pupped	pups	pupped
pupate	pupated	pupates	pupated
benefit	benefited	benefits	benefited
purchase	purchased	purchases	purchased
puree	pureed	purees	pureed
purge	purged	purges	purged
purify	purified	purifies	purified
bequeath	bequeathed	bequeaths	bequeathed
berate	berated	berates	berated
bereave	bereaved	bereaves	bereaved
purl	purled	purls	purled
purloin	purloined	purloins	purloined
berth	berthed	berths	berthed
beseech	besought	beseeches	besought
purport	purported	purports	purported
beseem	beseemed	beseems	beseemed
beset	beset	besets	beset
purpose	purposed	purposes	purposed
besiege	besieged	besieges	besieged
besmear	besmeared	besmears	besmeared
besmirch	besmirched	besmirches	besmirched
purr	purred	purrs	purred
purse	pursed	purses	pursed
bespeak	bespoke	bespeaks	bespoke
best	bested	bests	bested
pursue	pursued	pursues	pursued
bestir	bestirred	bestirs	bestirred
bestow	bestowed	bestows	bestowed
bestrew	bestrewed	bestrews	bestrewed
bestride	bestrode	bestrides	bestrode
purvey	purveyed	purveys	purveyed
bet	bet	bets	bet
betake	betook	betakes	betook
push	pushed	pushes	pushed
bethink	bethought	bethinks	bethought
betoken	betokened	betokens	betokened
betray	betrayed	betrays	betrayed
betroth	betrothed	betroths	betrothed
better	bettered	betters	bettered
bevel	bevelled	bevels	bevelled
bewail	bewailed	bewails	bewailed
bewilder	bewildered	bewilders	bewildered
bewitch	bewitched	bewitches	bewitched
pussyfoot	pussyfooted	pussyfoots	pussyfooted
put	put	puts	put
bias	biassed	biasses	biassed
bib	bibbed	bibs	bibbed
bicker	bickered	bickers	bickered
bicycle	bicycled	bicycles	bicycled
bid	bade	bids	bade
bid	bid	bids	bid
putrefy	putrefied	putrefies	putrefied
putt	putted	putts	putted
biff	biffed	biffs	biffed
putter	puttered	putters	puttered
bifurcate	bifurcated	bifurcates	bifurcated
putty	puttied	putties	puttied
puzzle	puzzled	puzzles	puzzled
bike	biked	bikes	biked
bilk	bilked	bilks	bilked
bill	billed	bills	billed
billet	billeted	billets	billeted
quack	quacked	quacks	quacked
billow	billowed	billows	billowed
quadruple	quadrupled	quadruples	quadrupled
quadruplicate	quadruplicated	quadruplicates	quadruplicated
quaff	quaffed	quaffs	quaffed
bind	bound	binds	bound
quail	quailed	quails	quailed
quake	quaked	quakes	quaked
qualify	qualified	qualifies	qualified
quantify	quantified	quantifies	quantified
quarantine	quarantined	quarantines	quarantined
quarrel	quarrelled	quarrels	quarrelled
birch	birched	birches	birched
quarry	quarried	quarries	quarried
quarter	quartered	quarters	quartered
quash	quashed	quashes	quashed
bisect	bisected	bisects	bisected
